#file-version:0.1
#Dict{String,Any}(Pair{String,Any}("estimation-args", Dict{String,Any}(Pair{String,Any}("num-per-dim", 0x0000000000000032),Pair{String,Any}("bounds", [-1.0 1.0; -1.0 1.0]))),Pair{String,Any}("model-params", Dict{String,Any}(Pair{String,Any}("sd-boundary", 0.5))),Pair{String,Any}("model", "simple-test"),Pair{String,Any}("dimension", 2))
[0.387755, -0.428571]; 0
[0.428571, -0.428571]; 0
[0.469388, -0.428571]; 0
[0.510204, -0.428571]; 0
[0.55102, -0.428571]; 0
[0.591837, -0.428571]; 0
[0.632653, -0.428571]; 0
[0.673469, -0.428571]; 0
[0.714286, -0.428571]; 0
[0.755102, -0.428571]; 0
[0.795918, -0.428571]; 0
[0.836735, -0.428571]; 0
[0.877551, -0.428571]; 0
[0.918367, -0.428571]; 0
[0.959184, -0.428571]; 0
[1.0, -0.428571]; 0
[-1.0, -0.387755]; 0
[-0.959184, -0.387755]; 0
[-0.918367, -0.387755]; 0
[-0.877551, -0.387755]; 0
[-0.836735, -0.387755]; 0
[-0.795918, -0.387755]; 0
[-0.755102, -0.387755]; 0
[-0.714286, -0.387755]; 0
[-0.673469, -0.387755]; 0
[-0.632653, -0.387755]; 0
[-0.591837, -0.387755]; 0
[-0.55102, -0.387755]; 0
[-0.510204, -0.387755]; 0
[-0.469388, -0.387755]; 0
[-0.428571, -0.387755]; 0
[-0.387755, -0.387755]; 0
[-0.346939, -0.387755]; 0
[-0.306122, -0.387755]; 0
[-0.265306, -0.387755]; 0
[-0.22449, -0.387755]; 0
[-0.183673, -0.387755]; 0
[-0.142857, -0.387755]; 0
[-0.102041, -0.387755]; 0
[-0.0612245, -0.387755]; 0
[-0.0204082, -0.387755]; 0
[0.0204082, -0.387755]; 1
[0.0612245, -0.387755]; 1
[0.102041, -0.387755]; 1
[0.142857, -0.387755]; 1
[0.183673, -0.387755]; 1
[0.22449, -0.387755]; 1
[0.265306, -0.387755]; 1
[0.306122, -0.387755]; 1
[0.346939, -0.387755]; 0
[0.387755, -0.387755]; 0
[0.428571, -0.387755]; 0
[0.469388, -0.387755]; 0
[0.510204, -0.387755]; 0
[0.55102, -0.387755]; 0
[0.591837, -0.387755]; 0
[0.632653, -0.387755]; 0
[0.673469, -0.387755]; 0
[0.714286, -0.387755]; 0
[0.755102, -0.387755]; 0
[0.795918, -0.387755]; 0
[0.836735, -0.387755]; 0
[0.877551, -0.387755]; 0
[0.918367, -0.387755]; 0
[0.959184, -0.387755]; 0
[1.0, -0.387755]; 0
[-1.0, -0.346939]; 0
[-0.959184, -0.346939]; 0
